"@timestamp","system.cpu.total.norm.pct"
"Mar 29, 2021 @ 14:04:52.787","0%"
"Mar 29, 2021 @ 14:04:53.787","6.42%"
"Mar 29, 2021 @ 14:04:54.787","4.5%"
"Mar 29, 2021 @ 14:04:55.787","11.17%"
"Mar 29, 2021 @ 14:04:56.787","2.8%"
"Mar 29, 2021 @ 14:04:57.787","4.03%"
"Mar 29, 2021 @ 14:04:58.787","23.06%"
"Mar 29, 2021 @ 14:04:59.787","11.44%"
"Mar 29, 2021 @ 14:05:00.787","2.83%"
"Mar 29, 2021 @ 14:05:01.787","5.53%"
"Mar 29, 2021 @ 14:05:02.788","23.13%"
"Mar 29, 2021 @ 14:05:03.787","8.15%"
"Mar 29, 2021 @ 14:05:04.787","5.53%"
"Mar 29, 2021 @ 14:05:05.788","33.02%"
"Mar 29, 2021 @ 14:05:06.787","19.22%"
"Mar 29, 2021 @ 14:05:07.787","6.78%"
"Mar 29, 2021 @ 14:05:08.787","6.33%"
"Mar 29, 2021 @ 14:05:09.787","17%"
"Mar 29, 2021 @ 14:05:10.787","9.27%"
"Mar 29, 2021 @ 14:05:11.787","7.59%"
"Mar 29, 2021 @ 14:05:12.794","31.73%"
"Mar 29, 2021 @ 14:05:13.787","11.59%"
"Mar 29, 2021 @ 14:05:14.787","11.03%"
"Mar 29, 2021 @ 14:05:15.787","10.64%"
"Mar 29, 2021 @ 14:05:16.787","18.56%"
"Mar 29, 2021 @ 14:05:17.787","8.77%"
"Mar 29, 2021 @ 14:05:18.787","12.32%"
"Mar 29, 2021 @ 14:05:19.787","25%"
"Mar 29, 2021 @ 14:05:20.789","23.15%"
"Mar 29, 2021 @ 14:05:21.787","10.5%"
"Mar 29, 2021 @ 14:05:22.787","11.94%"
"Mar 29, 2021 @ 14:05:23.788","31.86%"
"Mar 29, 2021 @ 14:05:24.787","12.84%"
"Mar 29, 2021 @ 14:05:25.787","14.5%"
"Mar 29, 2021 @ 14:05:26.787","21.79%"
"Mar 29, 2021 @ 14:05:27.787","44.67%"
"Mar 29, 2021 @ 14:05:28.787","11.97%"
"Mar 29, 2021 @ 14:05:29.788","22.49%"
"Mar 29, 2021 @ 14:05:30.787","24.51%"
"Mar 29, 2021 @ 14:05:31.788","14.96%"
"Mar 29, 2021 @ 14:05:32.787","20.43%"
"Mar 29, 2021 @ 14:05:33.787","15.37%"
"Mar 29, 2021 @ 14:05:34.787","48.58%"
"Mar 29, 2021 @ 14:05:35.787","19.31%"
"Mar 29, 2021 @ 14:05:36.787","16.79%"
"Mar 29, 2021 @ 14:05:37.787","25.36%"
"Mar 29, 2021 @ 14:05:38.787","20.72%"
"Mar 29, 2021 @ 14:05:39.788","20.83%"
"Mar 29, 2021 @ 14:05:40.787","19.57%"
"Mar 29, 2021 @ 14:05:41.787","49.53%"
"Mar 29, 2021 @ 14:05:42.787","16.54%"
"Mar 29, 2021 @ 14:05:43.787","19.56%"
"Mar 29, 2021 @ 14:05:44.788","38.57%"
"Mar 29, 2021 @ 14:05:45.788","28.37%"
"Mar 29, 2021 @ 14:05:46.787","19.35%"
"Mar 29, 2021 @ 14:05:47.787","22.88%"
"Mar 29, 2021 @ 14:05:48.787","56.59%"
"Mar 29, 2021 @ 14:05:49.787","21.65%"
"Mar 29, 2021 @ 14:05:50.787","24.21%"
"Mar 29, 2021 @ 14:05:51.787","28.9%"
"Mar 29, 2021 @ 14:05:52.787","36.87%"
"Mar 29, 2021 @ 14:05:53.788","28.47%"
"Mar 29, 2021 @ 14:05:54.788","27.88%"
"Mar 29, 2021 @ 14:05:55.788","53.09%"
"Mar 29, 2021 @ 14:05:56.788","30.84%"
"Mar 29, 2021 @ 14:05:57.787","30.48%"
"Mar 29, 2021 @ 14:05:58.787","32.26%"
"Mar 29, 2021 @ 14:05:59.787","38.08%"
"Mar 29, 2021 @ 14:06:00.790","32.33%"
"Mar 29, 2021 @ 14:06:01.788","33.49%"
"Mar 29, 2021 @ 14:06:02.788","54.46%"
