"@timestamp",value
"Mar 29, 2021 @ 14:04:43.790",0
"Mar 29, 2021 @ 14:04:48.790",1
"Mar 29, 2021 @ 14:04:53.790",2
"Mar 29, 2021 @ 14:04:58.790",4
"Mar 29, 2021 @ 14:05:03.790",5
"Mar 29, 2021 @ 14:05:08.790",6
"Mar 29, 2021 @ 14:05:13.790",8
"Mar 29, 2021 @ 14:05:19.577",10
"Mar 29, 2021 @ 14:05:23.790",11
"Mar 29, 2021 @ 14:05:28.790",12
"Mar 29, 2021 @ 14:05:33.790",13
"Mar 29, 2021 @ 14:05:38.790",15
"Mar 29, 2021 @ 14:05:43.790",16
"Mar 29, 2021 @ 14:05:48.790",18
"Mar 29, 2021 @ 14:05:53.790",19
"Mar 29, 2021 @ 14:05:58.790",20
"Mar 29, 2021 @ 14:06:03.790",22
"Mar 29, 2021 @ 14:06:08.790",23
"Mar 29, 2021 @ 14:06:13.790",25
"Mar 29, 2021 @ 14:06:18.790",26
"Mar 29, 2021 @ 14:06:23.790",28
"Mar 29, 2021 @ 14:06:28.790",29
"Mar 29, 2021 @ 14:06:33.790",30
"Mar 29, 2021 @ 14:06:38.790",32
"Mar 29, 2021 @ 14:06:43.790",33
"Mar 29, 2021 @ 14:06:48.790",35
"Mar 29, 2021 @ 14:06:53.790",36
"Mar 29, 2021 @ 14:06:58.790",37
"Mar 29, 2021 @ 14:07:03.790",39
"Mar 29, 2021 @ 14:07:08.790",40
"Mar 29, 2021 @ 14:07:14.501",42
"Mar 29, 2021 @ 14:07:18.790",43
"Mar 29, 2021 @ 14:07:23.790",44
"Mar 29, 2021 @ 14:07:28.790",46
"Mar 29, 2021 @ 14:07:33.790",47
"Mar 29, 2021 @ 14:07:38.790",49
"Mar 29, 2021 @ 14:07:43.790",50
"Mar 29, 2021 @ 14:07:48.790",51
"Mar 29, 2021 @ 14:07:53.790",53
"Mar 29, 2021 @ 14:07:58.790",54
"Mar 29, 2021 @ 14:08:03.790",56
"Mar 29, 2021 @ 14:08:08.790",57
"Mar 29, 2021 @ 14:08:13.790",58
"Mar 29, 2021 @ 14:08:18.790",60
"Mar 29, 2021 @ 14:08:23.790",61
"Mar 29, 2021 @ 14:08:28.790",63
"Mar 29, 2021 @ 14:08:33.790",64
"Mar 29, 2021 @ 14:08:38.790",65
"Mar 29, 2021 @ 14:08:43.790",67
"Mar 29, 2021 @ 14:08:48.790",68
"Mar 29, 2021 @ 14:08:53.790",70
"Mar 29, 2021 @ 14:08:58.790",71
"Mar 29, 2021 @ 14:09:03.790",72
"Mar 29, 2021 @ 14:09:08.790",74
"Mar 29, 2021 @ 14:09:13.790",75
"Mar 29, 2021 @ 14:09:18.790",77
"Mar 29, 2021 @ 14:09:23.790",78
"Mar 29, 2021 @ 14:09:28.790",79
"Mar 29, 2021 @ 14:09:33.790",81
"Mar 29, 2021 @ 14:09:38.790",82
"Mar 29, 2021 @ 14:09:43.790",84
"Mar 29, 2021 @ 14:09:48.790",85
"Mar 29, 2021 @ 14:09:53.790",86
"Mar 29, 2021 @ 14:09:58.790",88
"Mar 29, 2021 @ 14:10:03.790",89
"Mar 29, 2021 @ 14:10:08.790",91
"Mar 29, 2021 @ 14:10:15.582",93
"Mar 29, 2021 @ 14:10:18.790",93
"Mar 29, 2021 @ 14:10:23.790",95
"Mar 29, 2021 @ 14:10:28.790",96
"Mar 29, 2021 @ 14:10:33.790",98
"Mar 29, 2021 @ 14:10:38.790",99
"Mar 29, 2021 @ 14:10:43.790",100
"Mar 29, 2021 @ 14:10:51.444",103
"Mar 29, 2021 @ 14:10:53.790",103
"Mar 29, 2021 @ 14:10:58.790",105
"Mar 29, 2021 @ 14:11:03.790",106
"Mar 29, 2021 @ 14:11:08.790",107
"Mar 29, 2021 @ 14:11:13.790",109
"Mar 29, 2021 @ 14:11:18.790",110
"Mar 29, 2021 @ 14:11:23.790",112
"Mar 29, 2021 @ 14:11:28.790",113
"Mar 29, 2021 @ 14:11:33.790",114
"Mar 29, 2021 @ 14:11:38.790",116
"Mar 29, 2021 @ 14:11:43.790",117
"Mar 29, 2021 @ 14:11:48.790",118
"Mar 29, 2021 @ 14:11:53.790",120
"Mar 29, 2021 @ 14:11:58.790",121
"Mar 29, 2021 @ 14:12:03.790",123
"Mar 29, 2021 @ 14:12:08.790",124
"Mar 29, 2021 @ 14:12:13.790",125
"Mar 29, 2021 @ 14:12:18.790",127
"Mar 29, 2021 @ 14:12:23.790",128
"Mar 29, 2021 @ 14:12:28.790",129
"Mar 29, 2021 @ 14:12:33.790",129
"Mar 29, 2021 @ 14:12:38.790",129
"Mar 29, 2021 @ 14:12:43.790",129
"Mar 29, 2021 @ 14:12:48.790",1
"Mar 29, 2021 @ 14:12:53.790",1
