"@timestamp",value
"Mar 24, 2021 @ 09:53:01.148",0
"Mar 24, 2021 @ 09:53:06.148",0
"Mar 24, 2021 @ 09:53:11.148",0
"Mar 24, 2021 @ 09:53:16.148",0
"Mar 24, 2021 @ 09:53:21.148",1
"Mar 24, 2021 @ 09:53:26.148",2
"Mar 24, 2021 @ 09:53:31.148",3
"Mar 24, 2021 @ 09:53:36.148",4
"Mar 24, 2021 @ 09:53:41.148",5
"Mar 24, 2021 @ 09:53:46.148",6
"Mar 24, 2021 @ 09:53:51.148",8
"Mar 24, 2021 @ 09:53:56.148",9
"Mar 24, 2021 @ 09:54:01.148",10
"Mar 24, 2021 @ 09:54:06.148",11
"Mar 24, 2021 @ 09:54:11.148",12
"Mar 24, 2021 @ 09:54:16.148",13
"Mar 24, 2021 @ 09:54:21.148",14
"Mar 24, 2021 @ 09:54:26.148",15
"Mar 24, 2021 @ 09:54:31.148",16
"Mar 24, 2021 @ 09:54:36.148",17
"Mar 24, 2021 @ 09:54:41.148",18
"Mar 24, 2021 @ 09:54:46.148",18
"Mar 24, 2021 @ 09:54:51.148",19
"Mar 24, 2021 @ 09:54:56.148",20
"Mar 24, 2021 @ 09:55:01.148",21
"Mar 24, 2021 @ 09:55:06.148",22
"Mar 24, 2021 @ 09:55:11.148",23
"Mar 24, 2021 @ 09:55:16.148",24
"Mar 24, 2021 @ 09:55:21.148",25
"Mar 24, 2021 @ 09:55:26.148",25
"Mar 24, 2021 @ 09:55:31.148",26
"Mar 24, 2021 @ 09:55:36.148",27
"Mar 24, 2021 @ 09:55:41.148",28
"Mar 24, 2021 @ 09:55:46.148",29
"Mar 24, 2021 @ 09:55:51.148",29
"Mar 24, 2021 @ 09:55:56.148",30
"Mar 24, 2021 @ 09:56:01.148",31
"Mar 24, 2021 @ 09:56:06.148",32
"Mar 24, 2021 @ 09:56:11.148",33
"Mar 24, 2021 @ 09:56:16.148",33
"Mar 24, 2021 @ 09:56:21.148",34
"Mar 24, 2021 @ 09:56:26.148",35
"Mar 24, 2021 @ 09:56:31.148",36
"Mar 24, 2021 @ 09:56:36.148",36
"Mar 24, 2021 @ 09:56:41.148",37
"Mar 24, 2021 @ 09:56:46.148",37
"Mar 24, 2021 @ 09:56:51.148",37
"Mar 24, 2021 @ 09:56:56.148",0
