timestamp,event
"Mar 30, 2021 @ 08:08:19.053",participantJoined
"Mar 30, 2021 @ 08:08:25.870",participantJoined
"Mar 30, 2021 @ 08:08:38.688",participantJoined
"Mar 30, 2021 @ 08:08:31.662",participantJoined
"Mar 30, 2021 @ 08:08:44.784",participantJoined
"Mar 30, 2021 @ 08:08:52.331",participantJoined
"Mar 30, 2021 @ 08:09:20.842",participantJoined
"Mar 30, 2021 @ 08:09:32.407",participantJoined
"Mar 30, 2021 @ 08:09:46.115",participantJoined
"Mar 30, 2021 @ 08:09:59.847",participantJoined
"Mar 30, 2021 @ 08:10:15.063",participantJoined
"Mar 30, 2021 @ 08:10:30.417",participantJoined
"Mar 30, 2021 @ 08:08:59.872",participantJoined
"Mar 30, 2021 @ 08:09:09.737",participantJoined
