"@timestamp","system.cpu.total.norm.pct"
"Mar 26, 2021 @ 16:21:49.523","46.07%"
"Mar 26, 2021 @ 16:21:50.523","50.89%"
"Mar 26, 2021 @ 16:21:51.523","48.87%"
"Mar 26, 2021 @ 16:21:52.523","43.39%"
"Mar 26, 2021 @ 16:21:53.523","37.4%"
"Mar 26, 2021 @ 16:21:54.523","41.45%"
"Mar 26, 2021 @ 16:21:55.524","49.62%"
"Mar 26, 2021 @ 16:21:56.523","39.13%"
"Mar 26, 2021 @ 16:21:57.524","30.15%"
"Mar 26, 2021 @ 16:21:58.523","26.28%"
"Mar 26, 2021 @ 16:21:59.193","0%"
"Mar 26, 2021 @ 16:21:59.523","36.22%"
"Mar 26, 2021 @ 16:22:00.193","4.99%"
"Mar 26, 2021 @ 16:22:00.524","38.38%"
"Mar 26, 2021 @ 16:22:01.193","44.91%"
"Mar 26, 2021 @ 16:22:01.523","41.85%"
"Mar 26, 2021 @ 16:22:02.193","18.27%"
"Mar 26, 2021 @ 16:22:02.523","56.57%"
"Mar 26, 2021 @ 16:22:03.193","34.78%"
"Mar 26, 2021 @ 16:22:03.530","51.72%"
"Mar 26, 2021 @ 16:22:04.193","57.37%"
"Mar 26, 2021 @ 16:22:04.523","51.26%"
"Mar 26, 2021 @ 16:22:05.193","31.92%"
"Mar 26, 2021 @ 16:22:05.524","48.33%"
"Mar 26, 2021 @ 16:22:06.193","22.3%"
"Mar 26, 2021 @ 16:22:06.523","48.09%"
"Mar 26, 2021 @ 16:22:07.193","38.74%"
"Mar 26, 2021 @ 16:22:07.524","48.08%"
"Mar 26, 2021 @ 16:22:08.194","25.34%"
"Mar 26, 2021 @ 16:22:08.524","49.75%"
"Mar 26, 2021 @ 16:22:09.194","22.76%"
"Mar 26, 2021 @ 16:22:09.523","54.5%"
"Mar 26, 2021 @ 16:22:10.193","37.79%"
"Mar 26, 2021 @ 16:22:10.523","38.99%"
"Mar 26, 2021 @ 16:22:11.193","29.91%"
"Mar 26, 2021 @ 16:22:11.524","20%"
"Mar 26, 2021 @ 16:22:12.193","40.09%"
"Mar 26, 2021 @ 16:22:12.523","35.55%"
"Mar 26, 2021 @ 16:22:13.193","35.45%"
"Mar 26, 2021 @ 16:22:13.523","49.3%"
"Mar 26, 2021 @ 16:22:14.193","25.58%"
"Mar 26, 2021 @ 16:22:14.523","31.53%"
"Mar 26, 2021 @ 16:22:15.193","54.5%"
"Mar 26, 2021 @ 16:22:15.523","50.5%"
"Mar 26, 2021 @ 16:22:16.193","37.35%"
"Mar 26, 2021 @ 16:22:16.523","44.5%"
"Mar 26, 2021 @ 16:22:17.193","25.58%"
"Mar 26, 2021 @ 16:22:17.523","46.87%"
"Mar 26, 2021 @ 16:22:18.193","56.86%"
"Mar 26, 2021 @ 16:22:18.523","22.53%"
"Mar 26, 2021 @ 16:22:19.193","33.81%"
"Mar 26, 2021 @ 16:22:19.523","34.31%"
"Mar 26, 2021 @ 16:22:20.193","45.91%"
"Mar 26, 2021 @ 16:22:20.523","42.78%"
"Mar 26, 2021 @ 16:22:21.193","41.73%"
"Mar 26, 2021 @ 16:22:21.524","45.59%"
"Mar 26, 2021 @ 16:22:22.193","30.38%"
"Mar 26, 2021 @ 16:22:22.524","19.35%"
"Mar 26, 2021 @ 16:22:23.193","32.2%"
"Mar 26, 2021 @ 16:22:23.524","21.07%"
"Mar 26, 2021 @ 16:22:24.193","62.65%"
"Mar 26, 2021 @ 16:22:24.524","33.17%"
"Mar 26, 2021 @ 16:22:25.193","29.37%"
"Mar 26, 2021 @ 16:22:25.523","53.47%"
"Mar 26, 2021 @ 16:22:26.193","53.05%"
"Mar 26, 2021 @ 16:22:26.524","47.3%"
"Mar 26, 2021 @ 16:22:27.193","41.5%"
"Mar 26, 2021 @ 16:22:27.523","24.49%"
"Mar 26, 2021 @ 16:22:28.193","42.75%"
"Mar 26, 2021 @ 16:22:28.523","17.6%"
"Mar 26, 2021 @ 16:22:29.193","52.48%"
"Mar 26, 2021 @ 16:22:29.524","24.3%"
"Mar 26, 2021 @ 16:22:30.193","43.67%"
"Mar 26, 2021 @ 16:22:30.523","41.34%"
"Mar 26, 2021 @ 16:22:31.193","44.5%"
"Mar 26, 2021 @ 16:22:31.523","29.08%"
"Mar 26, 2021 @ 16:22:32.193","66.58%"
"Mar 26, 2021 @ 16:22:32.523","21.12%"
"Mar 26, 2021 @ 16:22:33.200","48.65%"
"Mar 26, 2021 @ 16:22:33.523","17.97%"
"Mar 26, 2021 @ 16:22:34.193","54.21%"
"Mar 26, 2021 @ 16:22:34.523","20.15%"
"Mar 26, 2021 @ 16:22:35.193","62.14%"
"Mar 26, 2021 @ 16:22:35.524","50.64%"
"Mar 26, 2021 @ 16:22:36.193","55.72%"
"Mar 26, 2021 @ 16:22:36.524","36.56%"
"Mar 26, 2021 @ 16:22:37.193","54.22%"
"Mar 26, 2021 @ 16:22:37.524","19.34%"
"Mar 26, 2021 @ 16:22:38.193","51.11%"
"Mar 26, 2021 @ 16:22:38.524","19.59%"
"Mar 26, 2021 @ 16:22:39.193","45.91%"
"Mar 26, 2021 @ 16:22:39.523","27.09%"
"Mar 26, 2021 @ 16:22:40.193","59.71%"
"Mar 26, 2021 @ 16:22:40.523","37.84%"
"Mar 26, 2021 @ 16:22:41.193","52.33%"
"Mar 26, 2021 @ 16:22:41.524","17.22%"
"Mar 26, 2021 @ 16:22:42.195","53.1%"
"Mar 26, 2021 @ 16:22:42.524","19.39%"
"Mar 26, 2021 @ 16:22:43.193","64.53%"
"Mar 26, 2021 @ 16:22:43.524","18.88%"
"Mar 26, 2021 @ 16:22:44.193","53.38%"
"Mar 26, 2021 @ 16:22:44.524","24.25%"
"Mar 26, 2021 @ 16:22:45.193","65.59%"
"Mar 26, 2021 @ 16:22:45.523","38.62%"
"Mar 26, 2021 @ 16:22:46.193","57.51%"
"Mar 26, 2021 @ 16:22:46.524","49.88%"
