"@timestamp","system.cpu.total.norm.pct"
"Mar 30, 2021 @ 08:17:48.226","0%"
"Mar 30, 2021 @ 08:17:49.226","38.15%"
"Mar 30, 2021 @ 08:17:50.226","32.37%"
"Mar 30, 2021 @ 08:17:51.226","39.07%"
"Mar 30, 2021 @ 08:17:52.226","22.36%"
"Mar 30, 2021 @ 08:17:53.226","25.92%"
"Mar 30, 2021 @ 08:17:54.226","24.18%"
"Mar 30, 2021 @ 08:17:55.226","24.06%"
"Mar 30, 2021 @ 08:17:56.226","55.22%"
"Mar 30, 2021 @ 08:17:57.226","47.86%"
"Mar 30, 2021 @ 08:17:58.226","64.85%"
"Mar 30, 2021 @ 08:17:59.226","39.31%"
"Mar 30, 2021 @ 08:18:00.226","45.22%"
"Mar 30, 2021 @ 08:18:01.226","47.27%"
"Mar 30, 2021 @ 08:18:02.226","46.49%"
"Mar 30, 2021 @ 08:18:03.226","66.67%"
"Mar 30, 2021 @ 08:18:04.226","66.75%"
"Mar 30, 2021 @ 08:18:05.226","74.31%"
"Mar 30, 2021 @ 08:18:06.226","89.37%"
"Mar 30, 2021 @ 08:18:07.228","71.61%"
"Mar 30, 2021 @ 08:18:08.226","76.25%"
"Mar 30, 2021 @ 08:18:09.226","76.14%"
"Mar 30, 2021 @ 08:18:10.226","73.54%"
"Mar 30, 2021 @ 08:18:11.230","90.66%"
"Mar 30, 2021 @ 08:18:12.226","95.42%"
"Mar 30, 2021 @ 08:18:13.226","92.58%"
"Mar 30, 2021 @ 08:18:14.226","97.03%"
"Mar 30, 2021 @ 08:18:15.226","97.5%"
"Mar 30, 2021 @ 08:18:16.226","100%"
"Mar 30, 2021 @ 08:18:17.226","100%"
"Mar 30, 2021 @ 08:18:18.226","99.75%"
"Mar 30, 2021 @ 08:18:19.227","99.49%"
"Mar 30, 2021 @ 08:18:20.227","99.25%"
"Mar 30, 2021 @ 08:18:21.235","100%"
"Mar 30, 2021 @ 08:18:22.229","100%"
"Mar 30, 2021 @ 08:18:23.226","100%"
"Mar 30, 2021 @ 08:18:24.226","99.75%"
"Mar 30, 2021 @ 08:18:25.229","100%"
"Mar 30, 2021 @ 08:18:26.236","99.75%"
"Mar 30, 2021 @ 08:18:27.226","99.75%"
"Mar 30, 2021 @ 08:18:28.231","100%"
"Mar 30, 2021 @ 08:18:29.226","99.75%"
"Mar 30, 2021 @ 08:18:30.226","99.75%"
"Mar 30, 2021 @ 08:18:31.226","100%"
"Mar 30, 2021 @ 08:18:32.226","100%"
"Mar 30, 2021 @ 08:18:33.226","99.75%"
"Mar 30, 2021 @ 08:18:34.226","100%"
"Mar 30, 2021 @ 08:18:35.226","100%"
"Mar 30, 2021 @ 08:18:36.230","100%"
"Mar 30, 2021 @ 08:18:37.231","99.75%"
"Mar 30, 2021 @ 08:18:38.229","100%"
"Mar 30, 2021 @ 08:18:39.226","99.75%"
"Mar 30, 2021 @ 08:18:40.228","100%"
"Mar 30, 2021 @ 08:18:41.247","99.75%"
"Mar 30, 2021 @ 08:18:42.229","100%"
"Mar 30, 2021 @ 08:18:43.236","100%"
"Mar 30, 2021 @ 08:18:44.229","100%"
"Mar 30, 2021 @ 08:18:45.227","99.75%"
"Mar 30, 2021 @ 08:18:46.238","100%"
"Mar 30, 2021 @ 08:18:47.226","100%"
"Mar 30, 2021 @ 08:18:48.226","100%"
"Mar 30, 2021 @ 08:18:49.231","100%"
"Mar 30, 2021 @ 08:18:50.226","100%"
"Mar 30, 2021 @ 08:18:51.237","100%"
"Mar 30, 2021 @ 08:18:52.227","100%"
"Mar 30, 2021 @ 08:18:53.236","100%"
"Mar 30, 2021 @ 08:18:54.226","100%"
"Mar 30, 2021 @ 08:18:55.226","99.75%"
"Mar 30, 2021 @ 08:18:56.226","100%"
"Mar 30, 2021 @ 08:18:57.236","100%"
"Mar 30, 2021 @ 08:18:58.226","100%"
"Mar 30, 2021 @ 08:18:59.229","100%"
"Mar 30, 2021 @ 08:19:00.226","100%"
"Mar 30, 2021 @ 08:19:01.232","100%"
"Mar 30, 2021 @ 08:19:02.226","100%"
"Mar 30, 2021 @ 08:19:03.230","100%"
"Mar 30, 2021 @ 08:19:04.233","100%"
"Mar 30, 2021 @ 08:19:05.230","100%"
"Mar 30, 2021 @ 08:19:06.226","100%"
"Mar 30, 2021 @ 08:19:07.227","100%"
"Mar 30, 2021 @ 08:19:08.230","100%"
"Mar 30, 2021 @ 08:19:09.226","100%"
"Mar 30, 2021 @ 08:19:10.229","100%"
"Mar 30, 2021 @ 08:19:11.236","100%"
"Mar 30, 2021 @ 08:19:12.229","100%"
"Mar 30, 2021 @ 08:19:13.228","100%"
"Mar 30, 2021 @ 08:19:14.227","100%"
"Mar 30, 2021 @ 08:19:15.226","100%"
"Mar 30, 2021 @ 08:19:16.226","100%"
"Mar 30, 2021 @ 08:19:17.226","100%"
"Mar 30, 2021 @ 08:19:18.228","100%"
