"@timestamp","system.cpu.total.norm.pct"
"Mar 29, 2021 @ 15:57:09.240","1%"
"Mar 29, 2021 @ 15:57:10.240","3.47%"
"Mar 29, 2021 @ 15:57:11.240","1.75%"
"Mar 29, 2021 @ 15:57:12.240","1.26%"
"Mar 29, 2021 @ 15:57:13.240","4.91%"
"Mar 29, 2021 @ 15:57:14.240","1.5%"
"Mar 29, 2021 @ 15:57:15.240","2.48%"
"Mar 29, 2021 @ 15:57:16.240","2.75%"
"Mar 29, 2021 @ 15:57:17.240","1.5%"
"Mar 29, 2021 @ 15:57:18.240","14.42%"
"Mar 29, 2021 @ 15:57:19.240","60.9%"
"Mar 29, 2021 @ 15:57:20.240","40.43%"
"Mar 29, 2021 @ 15:57:21.240","59.9%"
"Mar 29, 2021 @ 15:57:22.240","48.8%"
"Mar 29, 2021 @ 15:57:23.240","50.79%"
"Mar 29, 2021 @ 15:57:24.240","45.85%"
"Mar 29, 2021 @ 15:57:25.240","52.28%"
"Mar 29, 2021 @ 15:57:26.240","49.18%"
"Mar 29, 2021 @ 15:57:27.240","50.24%"
"Mar 29, 2021 @ 15:57:28.240","55.81%"
"Mar 29, 2021 @ 15:57:29.240","51.8%"
"Mar 29, 2021 @ 15:57:30.240","49.07%"
"Mar 29, 2021 @ 15:57:31.240","80.68%"
"Mar 29, 2021 @ 15:57:32.240","63.3%"
"Mar 29, 2021 @ 15:57:33.240","90.64%"
"Mar 29, 2021 @ 15:57:34.240","79.3%"
"Mar 29, 2021 @ 15:57:35.240","81.82%"
"Mar 29, 2021 @ 15:57:36.240","83.74%"
"Mar 29, 2021 @ 15:57:37.240","83.71%"
"Mar 29, 2021 @ 15:57:38.240","80.65%"
"Mar 29, 2021 @ 15:57:39.240","92.5%"
"Mar 29, 2021 @ 15:57:40.240","77.56%"
"Mar 29, 2021 @ 15:57:41.240","88.89%"
"Mar 29, 2021 @ 15:57:42.240","76.79%"
"Mar 29, 2021 @ 15:57:43.240","92.95%"
"Mar 29, 2021 @ 15:57:44.240","95.19%"
"Mar 29, 2021 @ 15:57:45.240","96.99%"
"Mar 29, 2021 @ 15:57:46.240","97.25%"
"Mar 29, 2021 @ 15:57:47.240","96.5%"
"Mar 29, 2021 @ 15:57:48.240","98.74%"
"Mar 29, 2021 @ 15:57:49.244","99%"
"Mar 29, 2021 @ 15:57:50.240","99%"
"Mar 29, 2021 @ 15:57:51.240","99.25%"
"Mar 29, 2021 @ 15:57:52.240","99.25%"
"Mar 29, 2021 @ 15:57:53.240","99.5%"
"Mar 29, 2021 @ 15:57:54.249","99.75%"
"Mar 29, 2021 @ 15:57:55.240","98.47%"
"Mar 29, 2021 @ 15:57:56.240","98.99%"
"Mar 29, 2021 @ 15:57:57.241","98.76%"
"Mar 29, 2021 @ 15:57:58.245","99.5%"
"Mar 29, 2021 @ 15:57:59.240","99.75%"
"Mar 29, 2021 @ 15:58:00.240","99.75%"
"Mar 29, 2021 @ 15:58:01.240","100%"
"Mar 29, 2021 @ 15:58:02.240","99.75%"
"Mar 29, 2021 @ 15:58:03.241","99.75%"
"Mar 29, 2021 @ 15:58:04.240","99.75%"
"Mar 29, 2021 @ 15:58:05.240","99.75%"
"Mar 29, 2021 @ 15:58:06.240","99.75%"
"Mar 29, 2021 @ 15:58:07.240","100%"
"Mar 29, 2021 @ 15:58:08.240","99.75%"
"Mar 29, 2021 @ 15:58:09.240","100%"
"Mar 29, 2021 @ 15:58:10.240","100%"
"Mar 29, 2021 @ 15:58:11.240","99.75%"
"Mar 29, 2021 @ 15:58:12.240","100%"
"Mar 29, 2021 @ 15:58:13.240","100%"
"Mar 29, 2021 @ 15:58:14.241","100%"
"Mar 29, 2021 @ 15:58:15.240","100%"
"Mar 29, 2021 @ 15:58:16.240","100%"
"Mar 29, 2021 @ 15:58:17.240","100%"
