"@timestamp","system.cpu.total.norm.pct"
"Oct 6, 2021 @ 15:52:23.735","99.62%"
"Oct 6, 2021 @ 15:52:22.735","100%"
"Oct 6, 2021 @ 15:52:21.735","100%"
"Oct 6, 2021 @ 15:52:21.381","97.74%"
"Oct 6, 2021 @ 15:52:18.735","90.65%"
"Oct 6, 2021 @ 15:52:17.735","99.64%"
"Oct 6, 2021 @ 15:52:17.029","89.08%"
"Oct 6, 2021 @ 15:52:09.735","100%"
"Oct 6, 2021 @ 15:52:09.228","94.04%"
"Oct 6, 2021 @ 15:52:05.735","90.8%"
"Oct 6, 2021 @ 15:52:04.735","99.01%"
"Oct 6, 2021 @ 15:52:03.735","100%"
"Oct 6, 2021 @ 15:52:03.439","81.3%"
"Oct 6, 2021 @ 15:51:59.735","99.75%"
"Oct 6, 2021 @ 15:51:58.735","69.18%"
"Oct 6, 2021 @ 15:51:57.735","99.66%"
"Oct 6, 2021 @ 15:51:57.001","97.13%"
"Oct 6, 2021 @ 15:51:51.735","98.74%"
"Oct 6, 2021 @ 15:51:50.735","91.76%"
"Oct 6, 2021 @ 15:51:50.191","85.83%"
"Oct 6, 2021 @ 15:51:43.735","99.76%"
"Oct 6, 2021 @ 15:51:43.208","92.07%"
"Oct 6, 2021 @ 15:51:39.735","78.57%"
"Oct 6, 2021 @ 15:51:38.735","99.75%"
"Oct 6, 2021 @ 15:51:37.735","100%"
"Oct 6, 2021 @ 15:51:37.576","87.38%"
"Oct 6, 2021 @ 15:51:31.735","97.5%"
"Oct 6, 2021 @ 15:51:31.690","97.89%"
"Oct 6, 2021 @ 15:51:28.735","98.99%"
"Oct 6, 2021 @ 15:51:27.735","95.35%"
"Oct 6, 2021 @ 15:51:26.735","99.68%"
"Oct 6, 2021 @ 15:51:25.957","91.29%"
"Oct 6, 2021 @ 15:51:23.735","80.56%"
"Oct 6, 2021 @ 15:51:22.735","99.75%"
"Oct 6, 2021 @ 15:51:21.735","87.41%"
"Oct 6, 2021 @ 15:51:21.021","94.04%"
"Oct 6, 2021 @ 15:51:18.735","99.62%"
"Oct 6, 2021 @ 15:51:17.735","91.42%"
"Oct 6, 2021 @ 15:51:16.735","99.64%"
