"@timestamp","system.cpu.total.norm.pct"
"Oct 6, 2021 @ 15:52:25.375","82.535%"
"Oct 6, 2021 @ 15:51:57.165","82.91%"
"Oct 6, 2021 @ 15:51:56.165","84.775%"
"Oct 6, 2021 @ 15:51:55.165","85.72%"
"Oct 6, 2021 @ 15:51:54.416","83.83000000000001%"
"Oct 6, 2021 @ 15:51:52.165","84.065%"
"Oct 6, 2021 @ 15:51:51.165","84.215%"
"Oct 6, 2021 @ 15:51:50.165","85.07%"
"Oct 6, 2021 @ 15:51:49.250","91.31%"
"Oct 6, 2021 @ 15:51:47.165","86.675%"
"Oct 6, 2021 @ 15:51:46.165","84.35%"
"Oct 6, 2021 @ 15:51:45.165","84.75%"
"Oct 6, 2021 @ 15:51:44.165","83.88%"
"Oct 6, 2021 @ 15:51:43.165","84.055%"
"Oct 6, 2021 @ 15:51:43.064","83.205%"
"Oct 6, 2021 @ 15:51:35.165","84.09%"
"Oct 6, 2021 @ 15:51:34.165","83.84%"
"Oct 6, 2021 @ 15:51:33.165","93.16499999999999%"
"Oct 6, 2021 @ 15:51:32.448","82.32%"
"Oct 6, 2021 @ 15:51:25.165","82.82%"
"Oct 6, 2021 @ 15:51:24.165","82.37%"
"Oct 6, 2021 @ 15:51:23.165","80.83000000000001%"
"Oct 6, 2021 @ 15:51:22.388","82.565%"
"Oct 6, 2021 @ 15:51:18.165","82.68%"
"Oct 6, 2021 @ 15:51:17.165","81.42%"
"Oct 6, 2021 @ 15:51:16.165","82.80000000000001%"
"Oct 6, 2021 @ 15:51:15.165","85.245%"
"Oct 6, 2021 @ 15:51:14.165","80.785%"
"Oct 6, 2021 @ 15:51:13.165","83.195%"
"Oct 6, 2021 @ 15:51:12.165","81.93%"
"Oct 6, 2021 @ 15:51:11.165","80.935%"
"Oct 6, 2021 @ 15:51:10.165","82.575%"
"Oct 6, 2021 @ 15:51:09.165","85.05000000000001%"
"Oct 6, 2021 @ 15:51:08.165","83.355%"
"Oct 6, 2021 @ 15:51:07.165","82.985%"
"Oct 6, 2021 @ 15:51:06.165","83.65%"
"Oct 6, 2021 @ 15:51:05.165","83.345%"
"Oct 6, 2021 @ 15:51:04.165","84.59%"
"Oct 6, 2021 @ 15:51:04.126","81.895%"
"Oct 6, 2021 @ 15:50:43.165","81.77000000000001%"
"Oct 6, 2021 @ 15:50:42.165","81.32%"
"Oct 6, 2021 @ 15:50:41.165","83.28999999999999%"
"Oct 6, 2021 @ 15:50:40.165","83.4%"
"Oct 6, 2021 @ 15:50:39.165","83.12%"
"Oct 6, 2021 @ 15:50:38.165","85.78999999999999%"
"Oct 6, 2021 @ 15:50:37.165","86.05000000000001%"
"Oct 6, 2021 @ 15:50:36.165","88.345%"
"Oct 6, 2021 @ 15:50:35.257","85.38%"
"Oct 6, 2021 @ 15:50:13.165","84.82%"
"Oct 6, 2021 @ 15:50:12.165","84.59%"
"Oct 6, 2021 @ 15:50:11.165","88.51499999999999%"
"Oct 6, 2021 @ 15:50:11.105","85.38%"
