"@timestamp","system.cpu.total.norm.pct","agent.hostname"
"Mar 31, 2021 @ 17:01:03.897","58.79%","ip-172-31-2-90"
"Mar 31, 2021 @ 17:01:02.263","74.67%","ip-172-31-8-202"
"Mar 31, 2021 @ 17:00:58.897","59.36%","ip-172-31-2-90"
"Mar 31, 2021 @ 17:00:57.263","60.46%","ip-172-31-8-202"
"Mar 31, 2021 @ 17:00:53.897","63.19%","ip-172-31-2-90"
"Mar 31, 2021 @ 17:00:52.263","62.2%","ip-172-31-8-202"
"Mar 31, 2021 @ 17:00:48.897","68.1%","ip-172-31-2-90"
"Mar 31, 2021 @ 17:00:47.263","76.25%","ip-172-31-8-202"
"Mar 31, 2021 @ 17:00:43.897","84.78%","ip-172-31-2-90"
"Mar 31, 2021 @ 17:00:42.263","92.74%","ip-172-31-8-202"
"Mar 31, 2021 @ 17:00:38.897","98.99%","ip-172-31-2-90"
"Mar 31, 2021 @ 17:00:37.263","99%","ip-172-31-8-202"
"Mar 31, 2021 @ 17:00:33.897","99.7%","ip-172-31-2-90"
"Mar 31, 2021 @ 17:00:32.263","99.4%","ip-172-31-8-202"
"Mar 31, 2021 @ 17:00:28.897","99.09%","ip-172-31-2-90"
"Mar 31, 2021 @ 17:00:27.263","99.1%","ip-172-31-8-202"
"Mar 31, 2021 @ 17:00:23.897","98.89%","ip-172-31-2-90"
"Mar 31, 2021 @ 17:00:22.263","99.5%","ip-172-31-8-202"
"Mar 31, 2021 @ 17:00:18.897","99.8%","ip-172-31-2-90"
"Mar 31, 2021 @ 17:00:17.263","99.2%","ip-172-31-8-202"
"Mar 31, 2021 @ 17:00:13.897","98.69%","ip-172-31-2-90"
"Mar 31, 2021 @ 17:00:12.263","99.5%","ip-172-31-8-202"
"Mar 31, 2021 @ 17:00:08.897","99.4%","ip-172-31-2-90"
"Mar 31, 2021 @ 17:00:07.263","99.4%","ip-172-31-8-202"
"Mar 31, 2021 @ 17:00:03.897","98.79%","ip-172-31-2-90"
"Mar 31, 2021 @ 17:00:02.263","99.4%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:59:58.897","98.99%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:59:57.263","99.6%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:59:53.897","99%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:59:52.263","99.1%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:59:48.897","99.09%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:59:47.263","99.3%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:59:43.897","98.69%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:59:42.267","99.2%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:59:38.897","98.59%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:59:37.263","99.3%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:59:33.897","99.4%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:59:32.263","99.3%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:59:28.897","99.8%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:59:27.263","99.3%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:59:23.897","99.6%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:59:22.263","98.9%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:59:18.897","99.8%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:59:17.263","95.01%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:59:13.897","99.3%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:59:12.263","94.61%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:59:08.897","99.5%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:59:07.263","94.42%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:59:03.897","99.5%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:59:02.263","93.83%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:58:58.897","99.5%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:58:57.263","94.22%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:58:53.897","99.09%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:58:52.264","94.62%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:58:48.897","98.49%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:58:47.263","94.31%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:58:43.897","98%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:58:42.263","93.97%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:58:38.897","98.8%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:58:37.263","94.91%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:58:33.897","97.28%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:58:32.263","96.35%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:58:28.897","92.31%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:58:27.263","98.61%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:58:23.897","89.76%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:58:22.263","98.51%","ip-172-31-8-202"
