"@timestamp","system.cpu.total.norm.pct"
"Oct 6, 2021 @ 14:50:54.553","5.279999999999999%"
"Oct 6, 2021 @ 14:50:53.553","7.37%"
"Oct 6, 2021 @ 14:50:52.553","8.64%"
"Oct 6, 2021 @ 14:50:51.553","6.64%"
"Oct 6, 2021 @ 14:50:50.553","10.879999999999999%"
"Oct 6, 2021 @ 14:50:49.553","7.865%"
"Oct 6, 2021 @ 14:50:48.553","9.305%"
"Oct 6, 2021 @ 14:50:47.553","8.69%"
"Oct 6, 2021 @ 14:50:46.553","20.245%"
"Oct 6, 2021 @ 14:50:45.553","37.975%"
"Oct 6, 2021 @ 14:50:44.553","39.19%"
"Oct 6, 2021 @ 14:50:43.553","40.54%"
"Oct 6, 2021 @ 14:50:42.553","38.739999999999995%"
"Oct 6, 2021 @ 14:50:41.553","40.545%"
"Oct 6, 2021 @ 14:50:40.553","35.59%"
"Oct 6, 2021 @ 14:50:39.553","47.41%"
"Oct 6, 2021 @ 14:50:38.553","50.010000000000005%"
"Oct 6, 2021 @ 14:50:37.553","48.91%"
"Oct 6, 2021 @ 14:50:36.553","48.370000000000005%"
"Oct 6, 2021 @ 14:50:35.553","49.4%"
"Oct 6, 2021 @ 14:50:34.553","55.084999999999994%"
"Oct 6, 2021 @ 14:50:33.553","51.965%"
"Oct 6, 2021 @ 14:50:32.553","50.055%"
"Oct 6, 2021 @ 14:50:31.553","54.66%"
"Oct 6, 2021 @ 14:50:30.553","54.435%"
"Oct 6, 2021 @ 14:50:29.553","54.41%"
"Oct 6, 2021 @ 14:50:28.553","49.335%"
"Oct 6, 2021 @ 14:50:27.553","51.265%"
"Oct 6, 2021 @ 14:50:26.553","54.105000000000004%"
"Oct 6, 2021 @ 14:50:25.553","48.82%"
"Oct 6, 2021 @ 14:50:24.553","56.775%"
"Oct 6, 2021 @ 14:50:23.553","54.805%"
"Oct 6, 2021 @ 14:50:22.553","50.335%"
"Oct 6, 2021 @ 14:50:21.553","55.230000000000004%"
"Oct 6, 2021 @ 14:50:20.553","59.375%"
"Oct 6, 2021 @ 14:50:19.553","63.925%"
"Oct 6, 2021 @ 14:50:18.553","54.985%"
"Oct 6, 2021 @ 14:50:17.553","61.495000000000005%"
"Oct 6, 2021 @ 14:50:16.553","55.55%"
"Oct 6, 2021 @ 14:50:15.553","63.114999999999995%"
"Oct 6, 2021 @ 14:50:14.553","62.959999999999994%"
"Oct 6, 2021 @ 14:50:13.553","62.915000000000006%"
"Oct 6, 2021 @ 14:50:12.553","68.03%"
