"@timestamp","system.memory.used.pct","agent.hostname"
"Oct 6, 2021 @ 14:50:54.167","33.31%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:54.150","33.59%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:53.167","33.31%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:53.150","33.59%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:52.167","33.31%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:52.150","33.59%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:51.167","33.31%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:51.150","33.59%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:50.167","33.31%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:50.150","33.6%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:49.167","33.31%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:49.150","33.59%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:48.167","33.31%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:48.150","33.59%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:47.167","33.31%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:47.150","33.59%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:46.167","33.31%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:46.150","33.6%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:45.167","33.28%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:45.150","33.57%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:44.167","33.29%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:44.150","33.58%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:43.167","33.28%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:43.150","33.58%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:42.167","33.29%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:42.150","33.58%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:41.167","33.28%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:41.150","33.58%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:40.167","33.28%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:40.150","33.58%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:39.167","33.29%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:39.150","33.58%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:38.167","33.29%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:38.150","33.58%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:37.167","33.28%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:37.150","33.58%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:36.167","33.28%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:36.150","33.58%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:35.167","33.29%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:35.150","33.58%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:34.167","33.29%","ip-172-31-14-6"
