timestamp,event
"Mar 24, 2021 @ 09:58:12.014",participantJoined
"Mar 24, 2021 @ 09:58:07.403",participantJoined
"Mar 24, 2021 @ 09:58:16.806",participantJoined
"Mar 24, 2021 @ 09:58:21.561",participantJoined
"Mar 24, 2021 @ 09:58:26.299",participantJoined
"Mar 24, 2021 @ 09:58:31.060",participantJoined
"Mar 24, 2021 @ 09:58:36.119",participantJoined
"Mar 24, 2021 @ 09:58:56.910",participantJoined
"Mar 24, 2021 @ 09:59:02.476",participantJoined
"Mar 24, 2021 @ 09:59:08.436",participantJoined
"Mar 24, 2021 @ 09:59:13.844",participantJoined
"Mar 24, 2021 @ 09:59:25.540",participantJoined
"Mar 24, 2021 @ 09:59:37.715",participantJoined
"Mar 24, 2021 @ 09:59:43.995",participantJoined
"Mar 24, 2021 @ 09:59:55.991",participantJoined
"Mar 24, 2021 @ 10:00:09.687",participantJoined
"Mar 24, 2021 @ 10:00:23.949",participantJoined
"Mar 24, 2021 @ 10:00:30.370",participantJoined
"Mar 24, 2021 @ 10:00:37.327",participantJoined
"Mar 24, 2021 @ 09:59:19.472",participantJoined
"Mar 24, 2021 @ 09:59:31.400",participantJoined
"Mar 24, 2021 @ 09:59:49.706",participantJoined
"Mar 24, 2021 @ 10:00:03.400",participantJoined
"Mar 24, 2021 @ 10:00:16.301",participantJoined
"Mar 24, 2021 @ 10:00:45.352",participantJoined
"Mar 24, 2021 @ 10:00:52.202",participantJoined
"Mar 24, 2021 @ 09:58:41.089",participantJoined
"Mar 24, 2021 @ 09:58:46.385",participantJoined
"Mar 24, 2021 @ 09:58:51.798",participantJoined
"Mar 24, 2021 @ 10:01:00.331",participantJoined
"Mar 24, 2021 @ 09:57:56.143",participantJoined
"Mar 24, 2021 @ 09:58:02.512",participantJoined
"Mar 24, 2021 @ 09:58:00.959",participantJoined
"Mar 24, 2021 @ 10:01:08.024",participantJoined
"Mar 24, 2021 @ 10:01:15.422",participantJoined
"Mar 24, 2021 @ 10:01:22.548",participantJoined
"Mar 24, 2021 @ 10:01:38.977",participantJoined
"Mar 24, 2021 @ 10:01:56.458",participantJoined
"Mar 24, 2021 @ 10:01:31.735",participantJoined
"Mar 24, 2021 @ 10:01:47.009",participantJoined
