"@timestamp","system.cpu.total.norm.pct"
"Mar 30, 2021 @ 08:57:23.308","0%"
"Mar 30, 2021 @ 08:57:24.309","11.39%"
"Mar 30, 2021 @ 08:57:25.309","2.78%"
"Mar 30, 2021 @ 08:57:26.309","5.35%"
"Mar 30, 2021 @ 08:57:27.309","1.78%"
"Mar 30, 2021 @ 08:57:28.309","26.97%"
"Mar 30, 2021 @ 08:57:29.309","21.95%"
"Mar 30, 2021 @ 08:57:30.309","6.36%"
"Mar 30, 2021 @ 08:57:31.309","3.84%"
"Mar 30, 2021 @ 08:57:32.309","7.59%"
"Mar 30, 2021 @ 08:57:33.309","23.27%"
"Mar 30, 2021 @ 08:57:34.309","30.15%"
"Mar 30, 2021 @ 08:57:35.309","12.47%"
"Mar 30, 2021 @ 08:57:36.309","12.41%"
"Mar 30, 2021 @ 08:57:37.309","19.65%"
"Mar 30, 2021 @ 08:57:38.309","11.44%"
"Mar 30, 2021 @ 08:57:39.309","14.6%"
"Mar 30, 2021 @ 08:57:40.309","14.49%"
"Mar 30, 2021 @ 08:57:41.309","12.38%"
"Mar 30, 2021 @ 08:57:42.309","24.15%"
"Mar 30, 2021 @ 08:57:43.309","17.14%"
"Mar 30, 2021 @ 08:57:44.309","19.25%"
"Mar 30, 2021 @ 08:57:45.309","20.91%"
"Mar 30, 2021 @ 08:57:46.309","24.65%"
"Mar 30, 2021 @ 08:57:47.309","28.7%"
"Mar 30, 2021 @ 08:57:48.309","24.03%"
"Mar 30, 2021 @ 08:57:49.309","24.26%"
"Mar 30, 2021 @ 08:57:50.309","21%"
"Mar 30, 2021 @ 08:57:51.309","34.73%"
"Mar 30, 2021 @ 08:57:52.309","33.8%"
"Mar 30, 2021 @ 08:57:53.309","26.05%"
"Mar 30, 2021 @ 08:57:54.309","26.91%"
"Mar 30, 2021 @ 08:57:55.309","21.99%"
"Mar 30, 2021 @ 08:57:56.309","46.19%"
"Mar 30, 2021 @ 08:57:57.309","28.57%"
"Mar 30, 2021 @ 08:57:58.309","30.42%"
"Mar 30, 2021 @ 08:57:59.309","26.12%"
"Mar 30, 2021 @ 08:58:00.309","29.77%"
"Mar 30, 2021 @ 08:58:01.309","31.67%"
"Mar 30, 2021 @ 08:58:02.309","29.02%"
"Mar 30, 2021 @ 08:58:03.309","25.12%"
"Mar 30, 2021 @ 08:58:04.309","34.05%"
"Mar 30, 2021 @ 08:58:05.309","33.02%"
"Mar 30, 2021 @ 08:58:06.309","30.07%"
"Mar 30, 2021 @ 08:58:07.309","28.64%"
"Mar 30, 2021 @ 08:58:08.309","26.23%"
"Mar 30, 2021 @ 08:58:09.309","44.76%"
"Mar 30, 2021 @ 08:58:10.309","36.24%"
"Mar 30, 2021 @ 08:58:11.309","29.9%"
"Mar 30, 2021 @ 08:58:12.309","25%"
"Mar 30, 2021 @ 08:58:13.309","25.18%"
"Mar 30, 2021 @ 08:58:14.309","55.42%"
"Mar 30, 2021 @ 08:58:15.309","33.66%"
"Mar 30, 2021 @ 08:58:16.309","29.51%"
"Mar 30, 2021 @ 08:58:17.309","27.75%"
"Mar 30, 2021 @ 08:58:18.309","27.18%"
"Mar 30, 2021 @ 08:58:19.309","59.6%"
"Mar 30, 2021 @ 08:58:20.309","33.09%"
"Mar 30, 2021 @ 08:58:21.309","35.04%"
"Mar 30, 2021 @ 08:58:22.309","33.5%"
"Mar 30, 2021 @ 08:58:23.309","40.15%"
"Mar 30, 2021 @ 08:58:24.309","32.93%"
"Mar 30, 2021 @ 08:58:25.309","32.2%"
"Mar 30, 2021 @ 08:58:26.309","30.9%"
"Mar 30, 2021 @ 08:58:27.309","52.12%"
"Mar 30, 2021 @ 08:58:28.309","42.01%"
"Mar 30, 2021 @ 08:58:29.309","40.1%"
"Mar 30, 2021 @ 08:58:30.309","32.84%"
"Mar 30, 2021 @ 08:58:31.309","39.26%"
"Mar 30, 2021 @ 08:58:32.309","50.74%"
"Mar 30, 2021 @ 08:58:33.309","35.64%"
"Mar 30, 2021 @ 08:58:34.309","37.59%"
"Mar 30, 2021 @ 08:58:35.309","38.67%"
"Mar 30, 2021 @ 08:58:36.309","34.9%"
"Mar 30, 2021 @ 08:58:37.309","58.52%"
"Mar 30, 2021 @ 08:58:38.309","38.75%"
"Mar 30, 2021 @ 08:58:39.309","47.3%"
"Mar 30, 2021 @ 08:58:40.309","32.92%"
"Mar 30, 2021 @ 08:58:41.309","46.27%"
"Mar 30, 2021 @ 08:58:42.309","63.61%"
"Mar 30, 2021 @ 08:58:43.309","49.13%"
"Mar 30, 2021 @ 08:58:44.309","56.97%"
"Mar 30, 2021 @ 08:58:45.309","51.49%"
"Mar 30, 2021 @ 08:58:46.309","42.96%"
"Mar 30, 2021 @ 08:58:47.309","53.69%"
"Mar 30, 2021 @ 08:58:48.309","49.63%"
"Mar 30, 2021 @ 08:58:49.309","46.44%"
"Mar 30, 2021 @ 08:58:50.309","49.13%"
"Mar 30, 2021 @ 08:58:51.309","51.09%"
"Mar 30, 2021 @ 08:58:52.309","46.42%"
"Mar 30, 2021 @ 08:58:53.309","45.5%"
"Mar 30, 2021 @ 08:58:54.309","47.04%"
"Mar 30, 2021 @ 08:58:55.309","61.14%"
"Mar 30, 2021 @ 08:58:56.309","55.14%"
"Mar 30, 2021 @ 08:58:57.309","53.28%"
"Mar 30, 2021 @ 08:58:58.309","43.67%"
"Mar 30, 2021 @ 08:58:59.309","47.76%"
"Mar 30, 2021 @ 08:59:00.309","67.99%"
"Mar 30, 2021 @ 08:59:01.309","52.78%"
"Mar 30, 2021 @ 08:59:02.309","59.24%"
"Mar 30, 2021 @ 08:59:03.309","55.36%"
"Mar 30, 2021 @ 08:59:04.309","54.34%"
"Mar 30, 2021 @ 08:59:05.309","71.03%"
"Mar 30, 2021 @ 08:59:06.309","56.25%"
"Mar 30, 2021 @ 08:59:07.309","53.48%"
"Mar 30, 2021 @ 08:59:08.309","54%"
"Mar 30, 2021 @ 08:59:09.309","55.11%"
"Mar 30, 2021 @ 08:59:10.309","52.5%"
"Mar 30, 2021 @ 08:59:11.309","48.63%"
"Mar 30, 2021 @ 08:59:12.309","47.5%"
"Mar 30, 2021 @ 08:59:13.309","61.69%"
"Mar 30, 2021 @ 08:59:14.309","60%"
"Mar 30, 2021 @ 08:59:15.309","56.96%"
"Mar 30, 2021 @ 08:59:16.309","55.19%"
"Mar 30, 2021 @ 08:59:17.309","58.6%"
"Mar 30, 2021 @ 08:59:18.309","62.5%"
"Mar 30, 2021 @ 08:59:19.309","58.42%"
"Mar 30, 2021 @ 08:59:20.309","63.98%"
"Mar 30, 2021 @ 08:59:21.309","58.44%"
