"@timestamp","system.cpu.total.norm.pct"
"Mar 24, 2021 @ 10:03:24.852","0%"
"Mar 24, 2021 @ 10:03:25.853","30.94%"
"Mar 24, 2021 @ 10:03:26.853","35.68%"
"Mar 24, 2021 @ 10:03:27.853","33.84%"
"Mar 24, 2021 @ 10:03:28.853","32.67%"
"Mar 24, 2021 @ 10:03:29.854","38.25%"
"Mar 24, 2021 @ 10:03:30.853","34.91%"
"Mar 24, 2021 @ 10:03:31.853","46.04%"
"Mar 24, 2021 @ 10:03:32.853","38.64%"
"Mar 24, 2021 @ 10:03:33.853","43.68%"
"Mar 24, 2021 @ 10:03:34.853","44.25%"
"Mar 24, 2021 @ 10:03:35.853","48.47%"
"Mar 24, 2021 @ 10:03:36.853","50.26%"
"Mar 24, 2021 @ 10:03:37.853","49.23%"
"Mar 24, 2021 @ 10:03:38.853","56.02%"
"Mar 24, 2021 @ 10:03:39.854","60.98%"
"Mar 24, 2021 @ 10:03:40.853","70.15%"
"Mar 24, 2021 @ 10:03:41.853","70.59%"
"Mar 24, 2021 @ 10:03:42.853","62.66%"
"Mar 24, 2021 @ 10:03:43.853","64.08%"
"Mar 24, 2021 @ 10:03:44.853","58.18%"
"Mar 24, 2021 @ 10:03:45.853","58.08%"
"Mar 24, 2021 @ 10:03:46.853","65.8%"
"Mar 24, 2021 @ 10:03:47.853","64.64%"
"Mar 24, 2021 @ 10:03:48.853","68.67%"
"Mar 24, 2021 @ 10:03:49.853","77.55%"
"Mar 24, 2021 @ 10:03:50.853","70.3%"
"Mar 24, 2021 @ 10:03:51.853","78.72%"
"Mar 24, 2021 @ 10:03:52.853","74.29%"
"Mar 24, 2021 @ 10:03:53.853","62.73%"
"Mar 24, 2021 @ 10:03:54.853","75.58%"
"Mar 24, 2021 @ 10:03:55.853","84.58%"
"Mar 24, 2021 @ 10:03:56.853","89.9%"
"Mar 24, 2021 @ 10:03:57.853","89.51%"
"Mar 24, 2021 @ 10:03:58.853","75.91%"
"Mar 24, 2021 @ 10:03:59.853","52.55%"
"Mar 24, 2021 @ 10:04:00.853","73.06%"
"Mar 24, 2021 @ 10:04:01.853","90.28%"
"Mar 24, 2021 @ 10:04:02.859","92.8%"
"Mar 24, 2021 @ 10:04:03.854","88.69%"
"Mar 24, 2021 @ 10:04:04.854","92.89%"
"Mar 24, 2021 @ 10:04:05.853","83.76%"
"Mar 24, 2021 @ 10:04:06.853","88.04%"
"Mar 24, 2021 @ 10:04:07.853","91.62%"
"Mar 24, 2021 @ 10:04:08.853","87.79%"
"Mar 24, 2021 @ 10:04:09.853","90.54%"
"Mar 24, 2021 @ 10:04:10.854","79.49%"
"Mar 24, 2021 @ 10:04:11.853","88.11%"
"Mar 24, 2021 @ 10:04:12.853","89.23%"
"Mar 24, 2021 @ 10:04:13.853","88.44%"
"Mar 24, 2021 @ 10:04:14.853","88.78%"
"Mar 24, 2021 @ 10:04:15.853","85.9%"
"Mar 24, 2021 @ 10:04:16.853","72.42%"
"Mar 24, 2021 @ 10:04:17.853","89.49%"
"Mar 24, 2021 @ 10:04:18.853","89.32%"
"Mar 24, 2021 @ 10:04:19.853","91.09%"
"Mar 24, 2021 @ 10:04:20.853","90.44%"
"Mar 24, 2021 @ 10:04:21.853","88.55%"
"Mar 24, 2021 @ 10:04:22.853","64.18%"
"Mar 24, 2021 @ 10:04:23.853","82.49%"
"Mar 24, 2021 @ 10:04:24.853","90.7%"
"Mar 24, 2021 @ 10:04:25.853","95.48%"
"Mar 24, 2021 @ 10:04:26.853","91.41%"
"Mar 24, 2021 @ 10:04:27.853","88.19%"
"Mar 24, 2021 @ 10:04:28.853","84.9%"
"Mar 24, 2021 @ 10:04:29.853","63.4%"
"Mar 24, 2021 @ 10:04:30.853","71.73%"
"Mar 24, 2021 @ 10:04:31.854","94.68%"
"Mar 24, 2021 @ 10:04:32.853","92.58%"
"Mar 24, 2021 @ 10:04:33.853","95.7%"
"Mar 24, 2021 @ 10:04:34.853","91.56%"
"Mar 24, 2021 @ 10:04:35.853","91.62%"
"Mar 24, 2021 @ 10:04:36.853","90.66%"
"Mar 24, 2021 @ 10:04:37.853","91.03%"
"Mar 24, 2021 @ 10:04:38.853","86.87%"
"Mar 24, 2021 @ 10:04:39.853","88.03%"
"Mar 24, 2021 @ 10:04:40.853","91.03%"
"Mar 24, 2021 @ 10:04:41.853","90.66%"
"Mar 24, 2021 @ 10:04:42.853","75.26%"
"Mar 24, 2021 @ 10:04:43.853","90.33%"
"Mar 24, 2021 @ 10:04:44.853","89.9%"
"Mar 24, 2021 @ 10:04:45.853","94.95%"
"Mar 24, 2021 @ 10:04:46.853","92.64%"
"Mar 24, 2021 @ 10:04:47.853","87.31%"
"Mar 24, 2021 @ 10:04:48.853","86.28%"
"Mar 24, 2021 @ 10:04:49.853","67.45%"
"Mar 24, 2021 @ 10:04:50.853","88.46%"
"Mar 24, 2021 @ 10:04:51.853","95.02%"
"Mar 24, 2021 @ 10:04:52.853","90.91%"
"Mar 24, 2021 @ 10:04:53.853","90.89%"
"Mar 24, 2021 @ 10:04:54.853","87.82%"
"Mar 24, 2021 @ 10:04:55.853","88.92%"
"Mar 24, 2021 @ 10:04:56.853","69.37%"
"Mar 24, 2021 @ 10:04:57.853","74.81%"
"Mar 24, 2021 @ 10:04:58.853","90.44%"
"Mar 24, 2021 @ 10:04:59.853","89.23%"
"Mar 24, 2021 @ 10:05:00.853","96.01%"
"Mar 24, 2021 @ 10:05:01.853","94.39%"
"Mar 24, 2021 @ 10:05:02.854","91.39%"
"Mar 24, 2021 @ 10:05:03.855","90.4%"
"Mar 24, 2021 @ 10:05:04.853","73.72%"
"Mar 24, 2021 @ 10:05:05.853","68.23%"
"Mar 24, 2021 @ 10:05:06.853","69.47%"
"Mar 24, 2021 @ 10:05:07.853","94.24%"
"Mar 24, 2021 @ 10:05:08.853","94.18%"
"Mar 24, 2021 @ 10:05:09.853","95.2%"
"Mar 24, 2021 @ 10:05:10.853","92.23%"
"Mar 24, 2021 @ 10:05:11.853","89.51%"
"Mar 24, 2021 @ 10:05:12.853","84.79%"
"Mar 24, 2021 @ 10:05:13.853","93.47%"
"Mar 24, 2021 @ 10:05:14.853","91.65%"
"Mar 24, 2021 @ 10:05:15.853","91.86%"
"Mar 24, 2021 @ 10:05:16.853","93.4%"
"Mar 24, 2021 @ 10:05:17.853","92.41%"
"Mar 24, 2021 @ 10:05:18.853","91.41%"
"Mar 24, 2021 @ 10:05:19.853","89.97%"
"Mar 24, 2021 @ 10:05:20.853","75.53%"
"Mar 24, 2021 @ 10:05:21.854","95.23%"
"Mar 24, 2021 @ 10:05:22.853","92.6%"
"Mar 24, 2021 @ 10:05:23.853","94.4%"
"Mar 24, 2021 @ 10:05:24.853","92.11%"
"Mar 24, 2021 @ 10:05:25.853","91.14%"
"Mar 24, 2021 @ 10:05:26.853","91.37%"
"Mar 24, 2021 @ 10:05:27.853","78.68%"
"Mar 24, 2021 @ 10:05:28.853","73.42%"
"Mar 24, 2021 @ 10:05:29.853","84.99%"
"Mar 24, 2021 @ 10:05:30.853","92.58%"
"Mar 24, 2021 @ 10:05:31.853","93.64%"
"Mar 24, 2021 @ 10:05:32.853","94.68%"
"Mar 24, 2021 @ 10:05:33.853","94.46%"
"Mar 24, 2021 @ 10:05:34.853","93.22%"
"Mar 24, 2021 @ 10:05:35.853","90.89%"
"Mar 24, 2021 @ 10:05:36.853","63.66%"
"Mar 24, 2021 @ 10:05:37.854","73.77%"
"Mar 24, 2021 @ 10:05:38.853","91.98%"
"Mar 24, 2021 @ 10:05:39.853","93.38%"
"Mar 24, 2021 @ 10:05:40.853","92.44%"
"Mar 24, 2021 @ 10:05:41.853","96.27%"
"Mar 24, 2021 @ 10:05:42.853","94.91%"
"Mar 24, 2021 @ 10:05:43.853","91.65%"
"Mar 24, 2021 @ 10:05:44.853","88.08%"
"Mar 24, 2021 @ 10:05:45.853","70.03%"
"Mar 24, 2021 @ 10:05:46.853","77.49%"
"Mar 24, 2021 @ 10:05:47.853","68.87%"
"Mar 24, 2021 @ 10:05:48.853","87.18%"
"Mar 24, 2021 @ 10:05:49.853","94.49%"
"Mar 24, 2021 @ 10:05:50.853","92.03%"
"Mar 24, 2021 @ 10:05:51.853","94.71%"
"Mar 24, 2021 @ 10:05:52.853","94.91%"
"Mar 24, 2021 @ 10:05:53.853","91.69%"
"Mar 24, 2021 @ 10:05:54.853","88.17%"
"Mar 24, 2021 @ 10:05:55.853","87.24%"
"Mar 24, 2021 @ 10:05:56.853","93.91%"
"Mar 24, 2021 @ 10:05:57.853","92.73%"
"Mar 24, 2021 @ 10:05:58.853","92.15%"
"Mar 24, 2021 @ 10:05:59.853","91.18%"
"Mar 24, 2021 @ 10:06:00.853","91.28%"
"Mar 24, 2021 @ 10:06:01.853","95.45%"
"Mar 24, 2021 @ 10:06:02.853","93.13%"
