"@timestamp","system.cpu.total.norm.pct"
"Mar 24, 2021 @ 10:07:17.913","0%"
"Mar 24, 2021 @ 10:07:18.913","14.43%"
"Mar 24, 2021 @ 10:07:19.913","23.81%"
"Mar 24, 2021 @ 10:07:20.913","18.89%"
"Mar 24, 2021 @ 10:07:21.913","18.38%"
"Mar 24, 2021 @ 10:07:22.913","32.1%"
"Mar 24, 2021 @ 10:07:23.913","21.25%"
"Mar 24, 2021 @ 10:07:24.914","29.35%"
"Mar 24, 2021 @ 10:07:25.913","31.06%"
"Mar 24, 2021 @ 10:07:26.913","32.25%"
"Mar 24, 2021 @ 10:07:27.913","32.83%"
"Mar 24, 2021 @ 10:07:28.913","38.21%"
"Mar 24, 2021 @ 10:07:29.913","33.25%"
"Mar 24, 2021 @ 10:07:30.913","39.29%"
"Mar 24, 2021 @ 10:07:31.913","37.78%"
"Mar 24, 2021 @ 10:07:32.913","34.34%"
"Mar 24, 2021 @ 10:07:33.914","34.16%"
"Mar 24, 2021 @ 10:07:34.913","50.25%"
"Mar 24, 2021 @ 10:07:35.913","45.11%"
"Mar 24, 2021 @ 10:07:36.913","47.68%"
"Mar 24, 2021 @ 10:07:37.913","49.5%"
"Mar 24, 2021 @ 10:07:38.913","47.58%"
"Mar 24, 2021 @ 10:07:39.913","47.78%"
"Mar 24, 2021 @ 10:07:40.913","45.92%"
"Mar 24, 2021 @ 10:07:41.913","50%"
"Mar 24, 2021 @ 10:07:42.913","74.16%"
"Mar 24, 2021 @ 10:07:43.913","66.67%"
"Mar 24, 2021 @ 10:07:44.913","64.96%"
"Mar 24, 2021 @ 10:07:45.913","70.45%"
"Mar 24, 2021 @ 10:07:46.913","47.21%"
"Mar 24, 2021 @ 10:07:47.913","59.07%"
"Mar 24, 2021 @ 10:07:48.913","78.21%"
"Mar 24, 2021 @ 10:07:49.913","46.19%"
"Mar 24, 2021 @ 10:07:50.913","42.27%"
"Mar 24, 2021 @ 10:07:51.913","81.35%"
"Mar 24, 2021 @ 10:07:52.913","93.91%"
"Mar 24, 2021 @ 10:07:53.913","93.47%"
"Mar 24, 2021 @ 10:07:54.913","96.44%"
"Mar 24, 2021 @ 10:07:55.913","87.4%"
"Mar 24, 2021 @ 10:07:56.913","86.55%"
"Mar 24, 2021 @ 10:07:57.913","92.75%"
"Mar 24, 2021 @ 10:07:58.913","94.67%"
"Mar 24, 2021 @ 10:07:59.913","90%"
"Mar 24, 2021 @ 10:08:00.913","84.9%"
"Mar 24, 2021 @ 10:08:01.913","87.28%"
"Mar 24, 2021 @ 10:08:02.913","75.26%"
"Mar 24, 2021 @ 10:08:03.913","92.56%"
"Mar 24, 2021 @ 10:08:04.913","92.8%"
"Mar 24, 2021 @ 10:08:05.913","87.47%"
"Mar 24, 2021 @ 10:08:06.913","90.4%"
"Mar 24, 2021 @ 10:08:07.913","89%"
"Mar 24, 2021 @ 10:08:08.913","78.61%"
"Mar 24, 2021 @ 10:08:09.913","71.47%"
"Mar 24, 2021 @ 10:08:10.913","92.19%"
"Mar 24, 2021 @ 10:08:11.913","90.15%"
"Mar 24, 2021 @ 10:08:12.913","90.75%"
"Mar 24, 2021 @ 10:08:13.913","95.44%"
"Mar 24, 2021 @ 10:08:14.913","90.95%"
"Mar 24, 2021 @ 10:08:15.913","69.85%"
"Mar 24, 2021 @ 10:08:16.913","60.57%"
"Mar 24, 2021 @ 10:08:17.913","86.42%"
"Mar 24, 2021 @ 10:08:18.913","93.86%"
"Mar 24, 2021 @ 10:08:19.913","96.25%"
"Mar 24, 2021 @ 10:08:20.913","88.52%"
"Mar 24, 2021 @ 10:08:21.913","90.68%"
"Mar 24, 2021 @ 10:08:22.913","87.47%"
"Mar 24, 2021 @ 10:08:23.913","72.66%"
"Mar 24, 2021 @ 10:08:24.913","53.46%"
"Mar 24, 2021 @ 10:08:25.913","87.44%"
"Mar 24, 2021 @ 10:08:26.913","91.62%"
"Mar 24, 2021 @ 10:08:27.913","95.45%"
"Mar 24, 2021 @ 10:08:28.913","94.94%"
"Mar 24, 2021 @ 10:08:29.913","93.16%"
"Mar 24, 2021 @ 10:08:30.913","89.87%"
"Mar 24, 2021 @ 10:08:31.913","82.01%"
"Mar 24, 2021 @ 10:08:32.913","62.89%"
"Mar 24, 2021 @ 10:08:33.913","61.56%"
"Mar 24, 2021 @ 10:08:34.913","74.93%"
"Mar 24, 2021 @ 10:08:35.913","93.69%"
"Mar 24, 2021 @ 10:08:36.913","93.47%"
"Mar 24, 2021 @ 10:08:37.913","93.89%"
"Mar 24, 2021 @ 10:08:38.913","91.14%"
