"@timestamp","system.cpu.total.norm.pct"
"Mar 30, 2021 @ 08:31:18.226","0.5%"
"Mar 30, 2021 @ 08:31:19.226","0.5%"
"Mar 30, 2021 @ 08:31:20.226","1%"
"Mar 30, 2021 @ 08:31:21.226","0.75%"
"Mar 30, 2021 @ 08:31:22.226","1.24%"
"Mar 30, 2021 @ 08:31:23.226","0.5%"
"Mar 30, 2021 @ 08:31:24.226","1.01%"
"Mar 30, 2021 @ 08:31:25.226","0.75%"
"Mar 30, 2021 @ 08:31:26.226","0.25%"
"Mar 30, 2021 @ 08:31:27.226","1%"
"Mar 30, 2021 @ 08:31:28.226","29.19%"
"Mar 30, 2021 @ 08:31:29.226","21.24%"
"Mar 30, 2021 @ 08:31:30.226","20.15%"
"Mar 30, 2021 @ 08:31:31.226","8.82%"
"Mar 30, 2021 @ 08:31:32.226","10.9%"
"Mar 30, 2021 @ 08:31:33.226","10.95%"
"Mar 30, 2021 @ 08:31:34.226","10.37%"
"Mar 30, 2021 @ 08:31:35.226","38.9%"
"Mar 30, 2021 @ 08:31:36.226","33.65%"
"Mar 30, 2021 @ 08:31:37.226","39.13%"
"Mar 30, 2021 @ 08:31:38.226","23.68%"
"Mar 30, 2021 @ 08:31:39.226","25.06%"
"Mar 30, 2021 @ 08:31:40.226","25.18%"
"Mar 30, 2021 @ 08:31:41.226","27.99%"
"Mar 30, 2021 @ 08:31:42.226","49.26%"
"Mar 30, 2021 @ 08:31:43.226","42.5%"
"Mar 30, 2021 @ 08:31:44.226","66.25%"
"Mar 30, 2021 @ 08:31:45.226","38.31%"
"Mar 30, 2021 @ 08:31:46.226","43.81%"
"Mar 30, 2021 @ 08:31:47.226","42.89%"
"Mar 30, 2021 @ 08:31:48.226","43.28%"
"Mar 30, 2021 @ 08:31:49.226","56.17%"
"Mar 30, 2021 @ 08:31:50.226","72.18%"
"Mar 30, 2021 @ 08:31:51.226","66.5%"
"Mar 30, 2021 @ 08:31:52.226","85.93%"
"Mar 30, 2021 @ 08:31:53.226","73.99%"
"Mar 30, 2021 @ 08:31:54.226","74.01%"
"Mar 30, 2021 @ 08:31:55.226","75.45%"
"Mar 30, 2021 @ 08:31:56.226","73.54%"
"Mar 30, 2021 @ 08:31:57.227","90.15%"
"Mar 30, 2021 @ 08:31:58.226","97.22%"
"Mar 30, 2021 @ 08:31:59.226","93.9%"
"Mar 30, 2021 @ 08:32:00.226","93.65%"
"Mar 30, 2021 @ 08:32:01.226","93.38%"
"Mar 30, 2021 @ 08:32:02.226","100%"
"Mar 30, 2021 @ 08:32:03.226","98.25%"
"Mar 30, 2021 @ 08:32:04.226","99.75%"
"Mar 30, 2021 @ 08:32:05.226","99.5%"
"Mar 30, 2021 @ 08:32:06.226","99.75%"
"Mar 30, 2021 @ 08:32:07.226","99.75%"
"Mar 30, 2021 @ 08:32:08.226","99.75%"
"Mar 30, 2021 @ 08:32:09.234","100%"
"Mar 30, 2021 @ 08:32:10.226","99.75%"
"Mar 30, 2021 @ 08:32:11.226","99.75%"
"Mar 30, 2021 @ 08:32:12.227","100%"
"Mar 30, 2021 @ 08:32:13.226","100%"
"Mar 30, 2021 @ 08:32:14.231","100%"
"Mar 30, 2021 @ 08:32:15.226","100%"
"Mar 30, 2021 @ 08:32:16.239","100%"
"Mar 30, 2021 @ 08:32:17.235","99.75%"
"Mar 30, 2021 @ 08:32:18.239","100%"
"Mar 30, 2021 @ 08:32:19.235","100%"
"Mar 30, 2021 @ 08:32:20.238","100%"
"Mar 30, 2021 @ 08:32:21.227","100%"
"Mar 30, 2021 @ 08:32:22.230","100%"
"Mar 30, 2021 @ 08:32:23.227","100%"
"Mar 30, 2021 @ 08:32:24.226","100%"
"Mar 30, 2021 @ 08:32:25.233","100%"
"Mar 30, 2021 @ 08:32:26.234","100%"
"Mar 30, 2021 @ 08:32:27.236","100%"
"Mar 30, 2021 @ 08:32:28.226","100%"
"Mar 30, 2021 @ 08:32:29.238","100%"
"Mar 30, 2021 @ 08:32:30.236","100%"
"Mar 30, 2021 @ 08:32:31.229","100%"
"Mar 30, 2021 @ 08:32:32.226","100%"
"Mar 30, 2021 @ 08:32:33.233","100%"
